"anime_id","avg_rating","num_votes"
2904,8.94997251236943,3638
2966,8.26978226234732,1883
2993,6.9885595423817,1923
3455,7.3086592178771,1432
3457,7.26857490864799,1642
3470,7.73258003766478,1062
3588,8.04059040590406,2439
3712,7.46596858638744,1528
3782,7.84579870729455,1083
3783,8.10609037328094,1018
3784,8.41686182669789,1281
4059,8.03571428571429,1512
4063,7.32627865961199,1134
4081,8.39008419083255,1069
4181,9.06306963179001,2743
4214,7.07046476761619,1334
4224,8.39825369876304,4123
4382,7.18977272727273,1760
4654,7.65616045845272,1745
4752,7.45660672400313,1279
4898,7.80103359173127,1935
4975,6.53791257805531,1121
5081,8.39631650750341,2932
5114,9.25376762275158,4114
5341,8.43335659455687,1433
5630,8.0140935297886,1561
5680,7.89836588282184,2509
5681,8.17776420281002,1637
5958,7.5251572327044,1272
6045,8.17807424593967,1724
6213,7.76299212598425,1270
6347,7.74376811594203,1725
6351,7.86649874055416,1191
6547,8.27244945933239,4254
6573,7.649468892261,1318
6702,7.82364629905613,2013
6707,7.42692939244663,1218
6746,8.40228613569322,2712
6880,7.21872376154492,2382
6956,7.75663026521061,1282
7054,8.13488372093023,2365
7059,7.09563602599814,1077
7088,7.06523350630096,1349
7311,8.74892572130141,1629
7593,6.79641131815045,1449
7674,8.37648705388384,1429
7724,7.95334838224229,1329
7791,8.21033434650456,1645
7817,7.16039279869067,1222
8074,7.23987823439878,3285
8425,8.18925421010425,1247
8516,7.90058479532164,1197
8525,7.8568281938326,1816
8630,6.9641472868217,1032
8675,7.75351014040562,1282
8769,7.32144511347846,2159
8841,7.50457142857143,1750
8861,6.41019417475728,1236
8937,7.75589225589226,1188
9041,6.86346153846154,1560
9253,9.17369127516779,3725
9260,8.33809523809524,1050
9513,7.93491124260355,1014
9515,6.50861287398005,1103
9656,8.05918727915194,1132
9756,8.46461538461539,2925
9919,7.6692498450093,3226
9989,8.40126582278481,3160
10030,8.40570377184913,1087
10067,7.35050597976081,1087
10080,8.03520114942529,1392
10087,8.44646924829157,2634
10110,7.3457249070632,1345
10162,8.572878897752,1379
10165,8.46726677577741,1222
10408,8.38578088578089,1716
10620,7.66391865897224,3639
10719,7.42863574966232,2221
10790,7.63104325699746,1179
10793,7.60335195530726,2327
10863,8.31022880215343,1486
11013,7.57903634826712,1183
11061,9.15604959384352,2339
11111,7.6007371007371,3256
11319,7.50900900900901,1110
11433,7.57874396135266,1035
11499,7.42390594382756,1531
11577,8.48361204013378,1495
11597,8.17628705148206,1923
11617,7.44477949491142,2653
11633,7.39074733096085,1405
11741,8.6858152894388,2263
11757,7.39599757428745,4947
11759,7.34568690095847,1565
11771,8.22822210901681,1963
11843,8.29245283018868,1696
11887,7.90816326530612,1764
12189,8.19413202933985,2045
12355,8.64562239428231,1679
12445,7.83657587548638,1028
12549,6.6941514860978,1043
13125,8.50405844155844,1232
13601,8.50883534136546,2490
13659,7.21187025534852,1449
13759,8.27214377406932,2337
14075,8.0438946528332,1253
14227,7.63162705667276,2188
14289,7.53808525506639,1431
14345,7.48568507157464,1956
14467,7.53697949036669,1609
14513,8.08801817149347,1761
14713,7.97694524495677,1041
14719,8.21796165489405,1982
14741,7.8314400879443,2729
14749,7.13338997451147,1177
14813,8.07423741271591,2721
14967,7.55006180469716,1618
